date,recession,unemployment,unemployment benefits,job postings,inflation
2004-01,2,6,8,85,24
2004-02,3,5,7,73,24
2004-03,4,5,6,76,27
2004-04,5,5,6,72,31
2004-05,4,4,5,100,24
2004-06,3,4,6,94,23
2004-07,4,4,6,95,20
2004-08,3,4,6,99,19
2004-09,4,4,5,79,20
2004-10,5,4,5,70,24
2004-11,4,4,5,63,26
2004-12,3,4,5,66,22
2005-01,3,5,6,91,21
2005-02,3,4,5,68,24
2005-03,4,4,5,78,23
2005-04,4,4,5,87,26
2005-05,3,4,5,86,23
2005-06,3,4,5,89,21
2005-07,2,4,5,78,18
2005-08,4,4,5,91,18
2005-09,5,4,5,82,22
2005-10,4,4,5,63,24
2005-11,4,4,5,65,24
2005-12,4,4,4,60,20
2006-01,3,4,6,87,21
2006-02,3,4,5,77,22
2006-03,4,4,5,78,22
2006-04,3,3,5,68,27
2006-05,4,3,5,92,24
2006-06,3,4,5,89,21
2006-07,3,4,6,86,17
2006-08,4,4,5,76,17
2006-09,4,4,5,77,19
2006-10,4,4,5,65,20
2006-11,4,4,5,55,22
2006-12,3,3,5,53,20
2007-01,3,5,7,82,18
2007-02,6,4,6,70,22
2007-03,5,4,5,69,19
2007-04,4,4,6,76,22
2007-05,4,4,5,66,21
2007-06,2,4,6,69,17
2007-07,3,4,6,76,17
2007-08,6,4,6,68,17
2007-09,10,4,6,66,20
2007-10,8,4,6,64,22
2007-11,12,4,6,62,23
2007-12,12,5,7,50,21
2008-01,51,6,8,74,24
2008-02,26,5,7,62,26
2008-03,30,5,7,66,28
2008-04,27,5,7,70,29
2008-05,17,5,7,67,24
2008-06,14,6,8,71,26
2008-07,15,7,9,66,23
2008-08,16,6,9,65,20
2008-09,37,7,9,67,23
2008-10,45,8,11,56,27
2008-11,39,10,14,55,24
2008-12,47,13,17,45,21
2009-01,37,15,21,71,21
2009-02,44,14,19,61,24
2009-03,43,14,18,61,24
2009-04,33,13,16,57,23
2009-05,26,12,16,59,20
2009-06,20,14,17,57,20
2009-07,20,14,17,58,16
2009-08,19,13,17,66,16
2009-09,21,13,17,54,19
2009-10,22,14,19,56,21
2009-11,21,16,19,52,21
2009-12,18,14,16,45,19
2010-01,16,16,17,58,18
2010-02,16,15,16,50,18
2010-03,15,15,17,53,22
2010-04,16,14,16,57,21
2010-05,13,13,13,56,19
2010-06,11,16,17,61,15
2010-07,11,20,21,56,14
2010-08,12,13,14,50,14
2010-09,16,11,11,49,16
2010-10,13,11,11,46,19
2010-11,13,12,12,42,22
2010-12,11,14,16,37,18
2011-01,9,15,15,52,18
2011-02,11,13,12,48,22
2011-03,12,11,11,49,21
2011-04,12,11,12,51,24
2011-05,10,11,11,56,19
2011-06,10,12,12,54,16
2011-07,9,12,12,51,15
2011-08,18,12,12,51,17
2011-09,15,12,11,45,17
2011-10,14,12,11,45,18
2011-11,13,12,11,44,18
2011-12,10,12,12,37,16
2012-01,9,15,13,53,15
2012-02,10,12,11,50,19
2012-03,9,10,9,44,18
2012-04,10,11,10,52,19
2012-05,9,11,10,57,17
2012-06,8,11,10,56,14
2012-07,8,11,11,56,13
2012-08,7,10,9,53,14
2012-09,10,10,9,44,17
2012-10,10,11,10,44,20
2012-11,12,11,10,40,17
2012-12,8,11,12,34,15
2013-01,7,13,13,52,16
2013-02,8,10,9,50,20
2013-03,8,10,8,47,18
2013-04,9,10,9,52,21
2013-05,7,9,8,53,18
2013-06,5,9,8,51,14
2013-07,5,9,9,49,13
2013-08,5,8,7,52,14
2013-09,6,9,8,47,16
2013-10,8,9,10,45,20
2013-11,8,8,8,40,20
2013-12,6,10,10,32,20
2014-01,6,14,17,46,17
2014-02,7,11,12,44,21
2014-03,7,11,11,45,22
2014-04,8,11,10,47,23
2014-05,7,9,8,47,22
2014-06,5,8,7,47,16
2014-07,5,7,7,51,15
2014-08,4,6,6,46,13
2014-09,6,6,6,42,18
2014-10,8,6,6,36,21
2014-11,8,6,5,32,20
2014-12,7,6,6,32,20
2015-01,6,7,6,41,20
2015-02,7,6,6,39,22
2015-03,8,6,6,38,22
2015-04,9,6,5,44,24
2015-05,7,6,5,44,23
2015-06,6,6,6,46,16
2015-07,5,6,6,47,15
2015-08,6,5,6,44,15
2015-09,8,5,5,43,21
2015-10,8,5,5,36,22
2015-11,8,5,5,31,22
2015-12,8,6,6,33,22
2016-01,10,7,7,43,19
2016-02,11,6,6,40,22
2016-03,9,5,6,40,21
2016-04,10,5,5,41,22
2016-05,10,5,5,42,20
2016-06,7,5,6,41,15
2016-07,6,5,6,37,13
2016-08,5,5,6,42,13
2016-09,8,4,5,37,18
2016-10,9,5,6,34,21
2016-11,10,5,6,32,21
2016-12,8,5,6,27,19
2017-01,8,7,7,39,19
2017-02,8,5,6,38,22
2017-03,9,5,5,39,21
2017-04,9,4,5,39,22
2017-05,8,5,5,41,20
2017-06,6,5,5,40,14
2017-07,5,5,6,34,15
2017-08,5,5,6,37,15
2017-09,7,4,5,34,19
2017-10,8,5,6,34,22
2017-11,9,5,5,28,22
2017-12,8,5,5,27,22
2018-01,7,7,7,36,20
2018-02,10,5,6,37,26
2018-03,8,5,5,37,21
2018-04,9,5,5,38,24
2018-05,9,4,4,40,22
2018-06,10,4,4,37,17
2018-07,8,5,5,39,18
2018-08,8,4,5,40,18
2018-09,10,4,4,35,21
2018-10,11,4,5,33,23
2018-11,10,4,4,31,23
2018-12,17,5,5,24,21
2019-01,11,6,6,36,20
2019-02,11,5,5,36,23
2019-03,14,4,4,34,23
2019-04,12,4,5,38,25
2019-05,12,4,4,37,22
2019-06,10,4,5,37,17
2019-07,10,5,5,36,17
2019-08,45,4,5,36,17
2019-09,19,4,4,36,19
2019-10,16,4,5,35,23
2019-11,12,4,5,31,22
2019-12,10,5,5,25,21
2020-01,9,6,5,38,20
2020-02,17,5,5,37,23
2020-03,69,44,39,24,21
2020-04,32,100,100,20,26
2020-05,17,74,71,27,22
2020-06,15,61,58,29,18
2020-07,10,60,59,27,19
2020-08,8,54,55,29,19
2020-09,9,45,46,26,22
2020-10,9,35,37,24,22
2020-11,10,30,30,18,20
2020-12,7,38,39,18,22
2021-01,7,48,49,21,24
2021-02,8,38,41,25,29
2021-03,8,37,40,24,31
2021-04,8,33,35,25,29
2021-05,8,32,35,26,41
2021-06,5,28,30,30,33
2021-07,5,25,27,29,29
2021-08,5,24,24,29,24
2021-09,7,17,18,28,27
2021-10,7,9,10,25,37
2021-11,8,8,9,23,49
2021-12,7,7,8,21,43
2022-01,9,10,10,33,51
2022-02,11,9,7,36,57
2022-03,21,6,6,36,60
2022-04,38,6,6,37,66
2022-05,50,5,5,35,68
2022-06,100,5,6,33,82
2022-07,80,6,6,33,68
2022-08,36,5,6,37,100
